,country,metric,load_dt
0,Austria,"13,1",2020-07-10
1,Belgia,"9,5",2020-07-10
2,Bulgaaria,"32,6",2020-07-10
3,Hispaania,"11,0",2020-07-10
4,Holland,"4,8",2020-07-10
5,Horvaatia,"22,7",2020-07-10
6,Iirimaa,"3,2",2020-07-10
7,Island,"15,2",2020-07-10
8,Itaalia,"4,4",2020-07-10
9,Kreeka,"3,4",2020-07-10
10,Küpros,"1,5",2020-07-10
11,Leedu,"1,9",2020-07-10
12,Liechtenstein,"5,2",2020-07-10
13,Luksemburg,"90,7",2020-07-10
14,Läti,"2,3",2020-07-10
15,Malta,"1,4",2020-07-10
16,Norra,"3,0",2020-07-10
17,Poola,"10,1",2020-07-10
18,Portugal,"47,7",2020-07-10
19,Prantsusmaa,"13,4",2020-07-10
20,Rootsi,"103,4",2020-07-10
21,Rumeenia,"28,6",2020-07-10
22,Saksamaa,"6,7",2020-07-10
23,Slovakkia,"4,0",2020-07-10
24,Sloveenia,"11,0",2020-07-10
25,Soome,"1,8",2020-07-10
26,Šveits,"13,4",2020-07-10
27,Taani,"4,8",2020-07-10
28,Tšehhi,"19,1",2020-07-10
29,Ungari,"1,0",2020-07-10
30,Ühendkuningriik,"13,8",2020-07-10
