country,metric,load_dt
Austria,13.1,2020-07-10
Belgia,9.5,2020-07-10
Bulgaaria,32.6,2020-07-10
Hispaania,11.0,2020-07-10
Holland,4.8,2020-07-10
Horvaatia,22.7,2020-07-10
Iirimaa,3.2,2020-07-10
Island,15.2,2020-07-10
Itaalia,4.4,2020-07-10
Kreeka,3.4,2020-07-10
Küpros,1.5,2020-07-10
Leedu,1.9,2020-07-10
Liechtenstein,5.2,2020-07-10
Luksemburg,90.7,2020-07-10
Läti,2.3,2020-07-10
Malta,1.4,2020-07-10
Norra,3.0,2020-07-10
Poola,10.1,2020-07-10
Portugal,47.7,2020-07-10
Prantsusmaa,13.4,2020-07-10
Rootsi,103.4,2020-07-10
Rumeenia,28.6,2020-07-10
Saksamaa,6.7,2020-07-10
Slovakkia,4.0,2020-07-10
Sloveenia,11.0,2020-07-10
Soome,1.8,2020-07-10
Šveits,13.4,2020-07-10
Taani,4.8,2020-07-10
Tšehhi,19.1,2020-07-10
Ungari,1.0,2020-07-10
Ühendkuningriik,13.8,2020-07-10
Andorra,28.5,2020-07-21
Austria,14.6,2020-07-21
Belgia,13.0,2020-07-21
Bulgaaria,39.2,2020-07-21
Hispaania,17.8,2020-07-21
Holland,5.5,2020-07-21
Horvaatia,27.5,2020-07-21
Iirimaa,4.2,2020-07-21
Island,17.9,2020-07-21
Itaalia,4.6,2020-07-21
Kreeka,4.6,2020-07-21
Küpros,2.7,2020-07-21
Leedu,2.8,2020-07-21
Liechtenstein,5.2,2020-07-21
Luksemburg,116.1,2020-07-21
Läti,3.0,2020-07-21
Malta,0.9,2020-07-21
Norra,2.1,2020-07-21
Poola,10.3,2020-07-21
Portugal,48.9,2020-07-21
Prantsusmaa,11.4,2020-07-21
Rootsi,61.8,2020-07-21
Rumeenia,37.7,2020-07-21
Saksamaa,6.2,2020-07-21
San Marino,47.2,2020-07-21
Slovakkia,4.6,2020-07-21
Sloveenia,12.7,2020-07-21
Soome,0.9,2020-07-21
Šveits,15.3,2020-07-21
Taani,5.3,2020-07-21
Tšehhi,13.4,2020-07-21
Ungari,1.2,2020-07-21
Vatikan,0.0,2020-07-21
Ühendkuningriik,13.0,2020-07-21
Andorra,44.6,2020-07-26
Austria,17.3,2020-07-26
Belgia,19.4,2020-07-26
Bulgaaria,45.4,2020-07-26
Hispaania,34.6,2020-07-26
Holland,9.3,2020-07-26
Horvaatia,29.9,2020-07-26
Iirimaa,5.3,2020-07-26
Island,2.2,2020-07-26
Itaalia,4.9,2020-07-26
Kreeka,4.1,2020-07-26
Küpros,4.0,2020-07-26
Leedu,3.7,2020-07-26
Liechtenstein,5.2,2020-07-26
Luksemburg,200.8,2020-07-26
Läti,2.6,2020-07-26
Malta,1.2,2020-07-26
Monaco,18.1,2020-07-26
Norra,2.0,2020-07-26
Poola,12.2,2020-07-26
Portugal,39.9,2020-07-26
Prantsusmaa,13.9,2020-07-26
Rootsi,43.3,2020-07-26
Rumeenia,54.0,2020-07-26
Saksamaa,7.2,2020-07-26
San Marino,5.8,2020-07-26
Slovakkia,4.4,2020-07-26
Sloveenia,12.4,2020-07-26
Soome,1.5,2020-07-26
Šveits,16.5,2020-07-26
Tšehhi,17.7,2020-07-26
Ungari,1.8,2020-07-26
Vatikan,0.0,2020-07-26
Ühendkuningriik,14.3,2020-07-26
Andorra,44.6,2020-07-27
Austria,17.3,2020-07-27
Belgia,19.4,2020-07-27
Bulgaaria,45.4,2020-07-27
Hispaania,34.6,2020-07-27
Holland,9.3,2020-07-27
Horvaatia,29.9,2020-07-27
Iirimaa,5.3,2020-07-27
Island,2.2,2020-07-27
Itaalia,4.9,2020-07-27
Kreeka,4.1,2020-07-27
Küpros,4.0,2020-07-27
Leedu,3.7,2020-07-27
Liechtenstein,5.2,2020-07-27
Luksemburg,200.8,2020-07-27
Läti,2.6,2020-07-27
Malta,1.2,2020-07-27
Monaco,18.1,2020-07-27
Norra,2.0,2020-07-27
Poola,12.2,2020-07-27
Portugal,39.9,2020-07-27
Prantsusmaa,13.9,2020-07-27
Rootsi,43.3,2020-07-27
Rumeenia,54.0,2020-07-27
Saksamaa,7.2,2020-07-27
San Marino,5.8,2020-07-27
Slovakkia,4.4,2020-07-27
Sloveenia,12.4,2020-07-27
Soome,1.5,2020-07-27
Šveits,16.5,2020-07-27
Taani,8.2,2020-07-27
Tšehhi,17.7,2020-07-27
Ungari,1.8,2020-07-27
Vatikan,0.0,2020-07-27
Ühendkuningriik,14.3,2020-07-27
Andorra,44.6,2020-07-28
Austria,17.3,2020-07-28
Belgia,19.4,2020-07-28
Bulgaaria,45.4,2020-07-28
Hispaania,34.6,2020-07-28
Holland,9.3,2020-07-28
Horvaatia,29.9,2020-07-28
Iirimaa,5.3,2020-07-28
Island,2.2,2020-07-28
Itaalia,4.9,2020-07-28
Kreeka,4.1,2020-07-28
Küpros,4.0,2020-07-28
Leedu,3.7,2020-07-28
Liechtenstein,5.2,2020-07-28
Luksemburg,200.8,2020-07-28
Läti,2.6,2020-07-28
Malta,1.2,2020-07-28
Monaco,18.1,2020-07-28
Norra,2.0,2020-07-28
Poola,12.2,2020-07-28
Portugal,39.9,2020-07-28
Prantsusmaa,13.9,2020-07-28
Rootsi,43.3,2020-07-28
Rumeenia,54.0,2020-07-28
Saksamaa,7.2,2020-07-28
San Marino,5.8,2020-07-28
Slovakkia,4.4,2020-07-28
Sloveenia,12.4,2020-07-28
Soome,1.5,2020-07-28
Šveits,16.5,2020-07-28
Taani,8.2,2020-07-28
Tšehhi,17.7,2020-07-28
Ungari,1.8,2020-07-28
Vatikan,0.0,2020-07-28
Ühendkuningriik,14.3,2020-07-28
