,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,country,load_dt,metric
0,0,0.0,0.0,Austria,2020-07-10,"13,1"
1,1,1.0,1.0,Belgia,2020-07-10,"9,5"
2,2,2.0,2.0,Bulgaaria,2020-07-10,"32,6"
3,3,3.0,3.0,Hispaania,2020-07-10,"11,0"
4,4,4.0,4.0,Holland,2020-07-10,"4,8"
5,5,5.0,5.0,Horvaatia,2020-07-10,"22,7"
6,6,6.0,6.0,Iirimaa,2020-07-10,"3,2"
7,7,7.0,7.0,Island,2020-07-10,"15,2"
8,8,8.0,8.0,Itaalia,2020-07-10,"4,4"
9,9,9.0,9.0,Kreeka,2020-07-10,"3,4"
10,10,10.0,10.0,Küpros,2020-07-10,"1,5"
11,11,11.0,11.0,Leedu,2020-07-10,"1,9"
12,12,12.0,12.0,Liechtenstein,2020-07-10,"5,2"
13,13,13.0,13.0,Luksemburg,2020-07-10,"90,7"
14,14,14.0,14.0,Läti,2020-07-10,"2,3"
15,15,15.0,15.0,Malta,2020-07-10,"1,4"
16,16,16.0,16.0,Norra,2020-07-10,"3,0"
17,17,17.0,17.0,Poola,2020-07-10,"10,1"
18,18,18.0,18.0,Portugal,2020-07-10,"47,7"
19,19,19.0,19.0,Prantsusmaa,2020-07-10,"13,4"
20,20,20.0,20.0,Rootsi,2020-07-10,"103,4"
21,21,21.0,21.0,Rumeenia,2020-07-10,"28,6"
22,22,22.0,22.0,Saksamaa,2020-07-10,"6,7"
23,23,23.0,23.0,Slovakkia,2020-07-10,"4,0"
24,24,24.0,24.0,Sloveenia,2020-07-10,"11,0"
25,25,25.0,25.0,Soome,2020-07-10,"1,8"
26,26,26.0,26.0,Šveits,2020-07-10,"13,4"
27,27,27.0,27.0,Taani,2020-07-10,"4,8"
28,28,28.0,28.0,Tšehhi,2020-07-10,"19,1"
29,29,29.0,29.0,Ungari,2020-07-10,"1,0"
30,30,30.0,30.0,Ühendkuningriik,2020-07-10,"13,8"
31,31,0.0,0.0,Andorra,2020-07-21,"28,5"
32,32,1.0,1.0,Austria,2020-07-21,"14,6"
33,33,2.0,2.0,Belgia,2020-07-21,"13,0"
34,34,3.0,3.0,Bulgaaria,2020-07-21,"39,2"
35,35,4.0,4.0,Hispaania,2020-07-21,"17,8"
36,36,5.0,5.0,Holland,2020-07-21,"5,5"
37,37,6.0,6.0,Horvaatia,2020-07-21,"27,5"
38,38,7.0,7.0,Iirimaa,2020-07-21,"4,2"
39,39,8.0,8.0,Island,2020-07-21,"17,9"
40,40,9.0,9.0,Itaalia,2020-07-21,"4,6"
41,41,10.0,10.0,Kreeka,2020-07-21,"4,6"
42,42,11.0,11.0,Küpros,2020-07-21,"2,7"
43,43,12.0,12.0,Leedu,2020-07-21,"2,8"
44,44,13.0,13.0,Liechtenstein,2020-07-21,"5,2"
45,45,14.0,14.0,Luksemburg,2020-07-21,"116,1"
46,46,15.0,15.0,Läti,2020-07-21,"3,0"
47,47,16.0,16.0,Malta,2020-07-21,"0,9"
48,48,17.0,17.0,Norra,2020-07-21,"2,1"
49,49,18.0,18.0,Poola,2020-07-21,"10,3"
50,50,19.0,19.0,Portugal,2020-07-21,"48,9"
51,51,20.0,20.0,Prantsusmaa,2020-07-21,"11,4"
52,52,21.0,21.0,Rootsi,2020-07-21,"61,8"
53,53,22.0,22.0,Rumeenia,2020-07-21,"37,7"
54,54,23.0,23.0,Saksamaa,2020-07-21,"6,2"
55,55,24.0,24.0,San Marino,2020-07-21,"47,2"
56,56,25.0,25.0,Slovakkia,2020-07-21,"4,6"
57,57,26.0,26.0,Sloveenia,2020-07-21,"12,7"
58,58,27.0,27.0,Soome,2020-07-21,"0,9"
59,59,28.0,28.0,Šveits,2020-07-21,"15,3"
60,60,29.0,29.0,Taani,2020-07-21,"5,3"
61,61,30.0,30.0,Tšehhi,2020-07-21,"13,4"
62,62,31.0,31.0,Ungari,2020-07-21,"1,2"
63,63,32.0,32.0,Vatikan,2020-07-21,"0,0"
64,64,33.0,33.0,Ühendkuningriik,2020-07-21,"13,0"
0,0,,,Andorra,2020-07-26 23:10:36.931245,"44,6"
1,1,,,Austria,2020-07-26 23:10:36.931245,"17,3*"
2,2,,,Belgia,2020-07-26 23:10:36.931245,"19,4"
3,3,,,Bulgaaria,2020-07-26 23:10:36.931245,"45,4"
4,4,,,Hispaania,2020-07-26 23:10:36.931245,"34,6"
5,5,,,Holland,2020-07-26 23:10:36.931245,"9,3"
6,6,,,Horvaatia,2020-07-26 23:10:36.931245,"29,9"
7,7,,,Iirimaa,2020-07-26 23:10:36.931245,"5,3"
8,8,,,Island,2020-07-26 23:10:36.931245,"2,2"
9,9,,,Itaalia,2020-07-26 23:10:36.931245,"4,9"
10,10,,,Kreeka,2020-07-26 23:10:36.931245,"4,1"
11,11,,,Küpros,2020-07-26 23:10:36.931245,"4,0"
12,12,,,Leedu,2020-07-26 23:10:36.931245,"3,7"
13,13,,,Liechtenstein,2020-07-26 23:10:36.931245,"5,2"
14,14,,,Luksemburg,2020-07-26 23:10:36.931245,"200,8"
15,15,,,Läti,2020-07-26 23:10:36.931245,"2,6"
